ticket_id,severity,module,title,description,priority,status,category,reported_date,assigned_to,assigned_date,sourcename
DEF-0001,L1,Payroll,Payroll Calculation Error,"This defect titled 'Payroll Calculation Error' has been identified in the Payroll module of the OrangeHRM system. It is categorized under Bug and marked with a severity level of L1 and a priority level of High. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Payroll Calculation Error' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Payroll' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",High,Closed,Bug,2025-05-11,Eve,2025-06-02,A
DEF-0002,L1,Leave Management,Leave Balance Mismatch,"This defect titled 'Leave Balance Mismatch' has been identified in the Leave Management module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L1 and a priority level of High. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Leave Balance Mismatch' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Leave Management' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",High,Resolved,UI,2025-05-17,Eve,2025-05-29,A
DEF-0003,L1,Authentication,Login Failure,"This defect titled 'Login Failure' has been identified in the Authentication module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L1 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Login Failure' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Authentication' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",Medium,Closed,UI,2025-05-29,Diana,2025-06-02,A
DEF-0004,L1,Reporting,Data Export Corruption,"This defect titled 'Data Export Corruption' has been identified in the Reporting module of the OrangeHRM system. It is categorized under Performance and marked with a severity level of L1 and a priority level of Low. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Data Export Corruption' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Reporting' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",Low,Resolved,Performance,2025-05-23,Bob,2025-05-30,A
DEF-0005,L1,Time Tracking,Timesheet Submission Error,"This defect titled 'Timesheet Submission Error' has been identified in the Time Tracking module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L1 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Timesheet Submission Error' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Time Tracking' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",Medium,Resolved,UI,2025-06-01,Diana,2025-06-02,A
DEF-0006,L2,Notifications,Email Notifications Not Sent,"This defect titled 'Email Notifications Not Sent' has been identified in the Notifications module of the OrangeHRM system. It is categorized under Performance and marked with a severity level of L2 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Email Notifications Not Sent' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Notifications' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",Medium,In Progress,Performance,2025-05-12,Eve,2025-05-30,A
DEF-0007,L2,User Management,Incorrect Role-Based Access,"This defect titled 'Incorrect Role-Based Access' has been identified in the User Management module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L2 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Incorrect Role-Based Access' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'User Management' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",Medium,Closed,UI,2025-05-13,Eve,2025-06-02,A
DEF-0008,L2,Performance,Review Scores Not Saved,"This defect titled 'Review Scores Not Saved' has been identified in the Performance module of the OrangeHRM system. It is categorized under Performance and marked with a severity level of L2 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Review Scores Not Saved' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Performance' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",Medium,Resolved,Performance,2025-05-13,Diana,2025-05-30,A
DEF-0009,L2,Recruitment,System Freeze on Add Candidate,"This defect titled 'System Freeze on Add Candidate' has been identified in the Recruitment module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L2 and a priority level of High. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'System Freeze on Add Candidate' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Recruitment' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",High,Resolved,UI,2025-05-10,Bob,2025-06-02,A
DEF-0010,L2,Attendance,Logs Missing,"This defect titled 'Logs Missing' has been identified in the Attendance module of the OrangeHRM system. It is categorized under Bug and marked with a severity level of L2 and a priority level of High. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams.

In the case of 'Logs Missing' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users.

This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Attendance' it is crucial to ensure stability because it plays a central role in employee operations.

Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure.

Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.",High,In Progress,Bug,2025-05-17,Diana,2025-05-29,A
