"ticketid","triage_level","modulename","bug_title","bug_desc","priority","status","category","datereported","assignee","assignee_date","src"
"DEF-0481","L2","Notifications","Email Notifications Not Sent","This defect titled 'Email Notifications Not Sent' has been identified in the Notifications module of the OrangeHRM system. It is categorized under Performance and marked with a severity level of L2 and a priority level of Low. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Email Notifications Not Sent' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Notifications' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Low","Open","Performance","03-05-2025","Alice","29-05-2025","C"
"DEF-0482","L2","User Management","Incorrect Role-Based Access","This defect titled 'Incorrect Role-Based Access' has been identified in the User Management module of the OrangeHRM system. It is categorized under Enhancement and marked with a severity level of L2 and a priority level of Low. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Incorrect Role-Based Access' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'User Management' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Low","Resolved","Enhancement","10-05-2025","Diana","30-05-2025","C"
"DEF-0483","L2","Performance","Review Scores Not Saved","This defect titled 'Review Scores Not Saved' has been identified in the Performance module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L2 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Review Scores Not Saved' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Performance' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Medium","Resolved","UI","22-05-2025","Charlie","02-06-2025","C"
"DEF-0484","L2","Recruitment","System Freeze on Add Candidate","This defect titled 'System Freeze on Add Candidate' has been identified in the Recruitment module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L2 and a priority level of Low. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'System Freeze on Add Candidate' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Recruitment' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Low","Closed","UI","05-05-2025","Diana","30-05-2025","C"
"DEF-0485","L2","Attendance","Logs Missing","This defect titled 'Logs Missing' has been identified in the Attendance module of the OrangeHRM system. It is categorized under UI and marked with a severity level of L2 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Logs Missing' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Attendance' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Medium","Closed","UI","21-05-2025","Alice","29-05-2025","C"
"DEF-0486","L3","Dashboard","UI Misalignment","This defect titled 'UI Misalignment' has been identified in the Dashboard module of the OrangeHRM system. It is categorized under Performance and marked with a severity level of L3 and a priority level of High. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'UI Misalignment' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Dashboard' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","High","In Progress","Performance","28-05-2025","Charlie","30-05-2025","C"
"DEF-0487","L3","Globalization","Date Format Error","This defect titled 'Date Format Error' has been identified in the Globalization module of the OrangeHRM system. It is categorized under Bug and marked with a severity level of L3 and a priority level of High. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Date Format Error' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Globalization' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","High","Resolved","Bug","07-05-2025","Diana","01-06-2025","C"
"DEF-0488","L3","Directory","Irrelevant Search Results","This defect titled 'Irrelevant Search Results' has been identified in the Directory module of the OrangeHRM system. It is categorized under Bug and marked with a severity level of L3 and a priority level of Low. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Irrelevant Search Results' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Directory' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Low","Closed","Bug","23-05-2025","Eve","02-06-2025","C"
"DEF-0489","L3","Help","Broken Help Links","This defect titled 'Broken Help Links' has been identified in the Help module of the OrangeHRM system. It is categorized under Performance and marked with a severity level of L3 and a priority level of Low. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Broken Help Links' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Help' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Low","Resolved","Performance","05-05-2025","Bob","28-05-2025","C"
"DEF-0490","L3","Reporting","Slow Report Load","This defect titled 'Slow Report Load' has been identified in the Reporting module of the OrangeHRM system. It is categorized under Enhancement and marked with a severity level of L3 and a priority level of Medium. The defect was observed during regular usage where the system failed to behave as expected. Users have reported anomalies and these have been confirmed by internal QA teams. In the case of 'Slow Report Load' users experience interruptions or erroneous outputs which directly impact their ability to perform HR-related tasks. The issue occurs when attempting a common operation within the module. Initial analysis suggests that the root cause may lie in recent code changes or misconfigurations. This needs to be validated by the engineering team. A temporary workaround may exist but needs to be communicated to affected users. This issue impacts productivity and potentially delays important HR workflows such as approvals payroll processing or timesheet submissions. The incident has been logged for further investigation. The support team has escalated this as part of the L1-L5 triage process and prioritized it based on business impact. For 'Reporting' it is crucial to ensure stability because it plays a central role in employee operations. Recommended next steps include replicating the issue in a test environment validating against different roles and verifying recent patch deployments. Testing should include both automated regression and manual edge case verification. Logs and screenshots where applicable are to be gathered and attached. An assigned engineer or team is responsible for tracking and resolving this issue in the upcoming sprint cycle. Resolution notes and patches will be validated by QA before final closure. Mitigation steps may include disabling the affected functionality temporarily or providing manual override capabilities to avoid blocking critical workflows. Communications should be sent to stakeholders and impacted users once the root cause and fix are confirmed. Documentation and help articles must be updated to reflect the resolution and prevent recurrence. Overall resolving this defect will improve system reliability and enhance user confidence in the HRM system.","Medium","In Progress","Enhancement","06-05-2025","Bob","31-05-2025","C"
